Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Create a self-contained bash script for per-sample variant calling on mitochondrial DNA (chrM) using MiSeq amplicon data.
    *   **Inputs:** `data/raw/` contains FASTQ files for 4 samples (`M117-bl`, `M117-ch`, `M117C1-bl`, `M117C1-ch`). `data/ref/` contains `chrM.fa`.
    *   **Outputs:** `results/{sample}.bam`, `.bai`, `{sample}.vcf.gz`, `.tbi`, and a collapsed table (`collapsed.tsv`) with columns: sample, chrom, pos, ref, alt, af.
    *   **Constraints:**
        *   First line: `#!/usr/bin/env bash`
        *   Second line: `set -euo pipefail`
        *   Working directory contains data/raw/ and data/ref/. Outputs go to results/.
        *   Idempotent (exit 0 if outputs exist).
        *   No hardcoded absolute paths.
        *   Use only tools in TOOL_INVENTORY (`bwa`, `samtools`, `bcftools`, `tabix`, `lofreq`/`SnpSift`, etc.). Note: The prompt lists `lofreq version 2.1.5`. Usually, GATK is preferred for variant calling, but it's not in the inventory. I must use available tools.
        *   Wall-clock < 600s at THREADS=4 (though threads aren't explicitly set as a variable to pass, `bcftools` and others support parallelism). The script should handle threading if possible or just run sequentially efficiently given the small dataset size (mitochondrial genome is tiny: ~16kb).
        *   No stderr/stdout prose.
    *   **Tools Available:** bwa, samtools, bcftools, tabix, lofreq, SnpSift, snpEff, fastqc, seqkit, snakemake, shellcheck, java.

2.  **Determine the Workflow Steps:**
    *   **Step 1: Check Idempotency.** If `results/` contains all expected outputs for a sample (bam/bai/vcf.gz/tbi), skip processing that sample. Also check if collapsed.tsv exists and is up to date? The prompt implies generating it based on the per-sample VCFs.
    *   **Step 2: Alignment.** Map reads from FASTQ to `chrM.fa` using BWA-MEM (or bwa aln/pair). Since chrM is small, standard alignment works well. Output BAM files in results/. Index them with samtools.
    *   **Step 3: Variant Calling.** Use bcftools mpileup or lofreq? `bcftools` is usually preferred for speed and simplicity if GATK isn't available. However, the inventory lists `lofreq`. LoFreq is specifically designed for low-frequency variant detection (often used in amplicon sequencing). Given "amplicon samples", LoFreq might be more appropriate than standard bcftools mpileup/call which assumes higher coverage and diploid genomes usually. But wait, mitochondrial DNA often has heteroplasmy issues or high depth.
    *   Let's check the tools again: `bcftools` 1.21 is available. `lofreq` 2.1.5 is available. LoFreq typically outputs VCF directly from BAM (or requires a specific pipeline). Actually, standard practice with bcftools for variant calling on mapped data is `samtools mpileup -> bcftools call`. Or just `bcftools mpileup -f ref.fa ... | bcftools call -vc vcf.gz`.
    *   Wait, the inventory lists `lofreq` and `SnpSift`. LoFreq usually requires a specific setup (e.g., using lofreq's own tools). However, standard variant calling pipelines often use GATK. Since GATK is NOT in the list, I should stick to bcftools or SnpSift + bwa/samtools.
    *   Actually, `bcftools` has a specific command for this: `bcftools mpileup -f ref.fa ... | bcftools call`. Or using `samtools mpileup -> bcftools call`. Given the small size of chrM (16kb), alignment is fast. Variant calling should be done per sample to get individual VCFs, then merged/collapsed later? The prompt asks for "per-sample variant calling".
    *   Let's use `bcftools` as it integrates well with samtools and tabix. It supports `-O v -o ...`. Wait, bcftools 1.x often requires mpileup -> call or just the newer unified format if available (but version is 1.21).
    *   Actually, for mitochondrial data specifically, sometimes `bcftools` needs specific flags to handle haploid nature of mtDNA? No, usually treated as diploid but with high coverage on chrM. However, since it's a collapsed table at the end, we need per-sample VCFs first.
    *   Let's use: `samtools mpileup -f data/ref/chrM.fa results/{sample}.bam | bcftools call -vc` -> This produces raw calls. Then filter? Or just output all variants found > threshold (e.g., min_depth).
    *   Wait, the inventory lists `lofreq`. LoFreq is often used for detecting heteroplasmy in mtDNA because it models sequencing errors better than standard pileup callers which might miss low-frequency variants due to error rates. However, setting up a full lofreq pipeline (which involves specific steps like filtering reads) can be complex and time-consuming compared to bcftools mpileup on such small data.
