Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Create a self-contained bash script for per-sample variant calling on mitochondrial DNA (chrM) using provided FASTQ files and reference genome.
    *   **Inputs:** `data/raw/` contains paired-end FASTQs (`*_1.fq.gz`, `*_2.fq.gz`) for 4 samples. `data/ref/` contains `chrM.fa`.
    *   **Outputs:** `results/{sample}.bam`, `.bai`, `.vcf.gz`, `.vcf.gz.tbi`, and a collapsed table `collapsed.tsv`.
    *   **Constraints:**
        *   First line: `#!/usr/bin/env bash`
        *   Second line: `set -euo pipefail`
        *   Working directory contains data/raw/ and data/ref/. Outputs go to results/.
        *   Idempotent (exit 0 if outputs exist).
        *   No hardcoded absolute paths.
        *   Use only tools in TOOL_INVENTORY (`bwa`, `samtools`, `bcftools`, `tabix`, `lofreq` is listed but not standard for basic calling, usually GATK or bcftools mpileup/call are used; wait, lofreq 2.1.5? Usually lofreq requires specific input formats like BAM/LOFREQ format, often paired with a variant caller logic. However, `bcftools` is explicitly listed and standard for VCF generation from BAM).
        *   Wait, the tool inventory lists: bwa, samtools, bcftools, tabix, lofreq, SnpSift, snpEff, fastqc, seqkit, snakemake, shellcheck.
        *   Standard workflow with these tools: BWA-MEM for alignment -> SAM/BAM sorting/indexing -> (Optional) Variant Calling using `bcftools mpileup` + `call`. Or use GATK (not listed). Since only bcftools is available in the inventory, I should stick to that.
        *   Wait, lofreq 2.1.5? LoFreq usually requires a specific mode or integration with samtools/bcftools logic for low-frequency variants. However, standard `bcftools` mpileup/call works well here given it's in the inventory. I will use BWA-MEM + SAMtools sort/indexing + bcftools mpileup + call (or just bcftools view if needed) to generate VCFs.
        *   Wait, is `bcftools` listed? Yes: "bcftools 1.21".
        *   Is there a specific variant caller required for mitochondrial DNA or low coverage? The prompt mentions MiSeq amplicon samples (usually high depth). Standard bcftools mpileup/call should suffice.
        *   Idempotency check: If `results/{sample}.bam` exists, skip alignment and calling steps. Same for VCFs. Only regenerate if missing or dirty? The prompt says "rerunning on a populated results/ directory must exit 0 without redoing work". So I need to check existence of outputs before running commands.
