Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Create a self-contained bash script for per-sample variant calling on mitochondrial DNA (chrM) using provided FASTQ files and reference genome.
    *   **Inputs:** `data/raw/` contains paired-end FASTQs (`*_1.fq.gz`, `*_2.fq.gz`) for 4 samples. `data/ref/` contains `chrM.fa`.
    *   **Outputs:** `results/{sample}.bam`, `.bai`, `{sample}.vcf.gz`, `.tbi`, and a collapsed table `collapsed.tsv`.
    *   **Constraints:**
        *   Shebang: `#!/usr/bin/env bash`
        *   Strict mode: `set -euo pipefail`
        *   Working directory assumption: Current dir has `data/raw/` and `data/ref/`. Output to `results/`.
        *   Idempotent: If outputs exist, skip work. Exit 0 on success (even if rerun).
        *   No hardcoded absolute paths outside cwd.
        *   Tools allowed: bwa, samtools, bcftools, tabix, lofreq, SnpSift, snpEff, fastqc, seqkit, snakemake, shellcheck, java.
        *   Time limit: < 600s (very generous for this size).
        *   No `echo` prose to stdout/stderr beyond tool output.

2.  **Determine the Workflow:**
    *   Reference is `data/ref/chrM.fa`. It needs indexing (`samtools faidx`) before mapping, though BWA-MEM usually handles it if indexed or can index on fly (but explicit indexing is safer for speed). Wait, constraint says "not yet indexed". I need to index it.
    *   Mapping: `bwa mem` using the reference and FASTQs -> SAM/BAM. Sort with `samtools sort`. Index BAM (`samtools bgzip`, then `tabix`).
    *   Variant Calling: The prompt mentions `lofreq` in TOOL_INVENTORY but also standard pipelines often use GATK or bcftools mpileup/call. Since `bcftools` is available, I should probably use it for calling (mpileup + call) as it's more robust than lofreq for this context unless specified otherwise. However, the prompt says "Recommended tool sequence: bwa → samtools → lofreq → bcftools". Wait, looking closely at TOOL_INVENTORY: `lofreq` is listed but often used with GATK or specific pipelines (like VarScan). But standard practice in bioinformatics tasks provided here usually implies using available tools.
    *   Let's check the constraint again: "Recommended tool sequence: bwa → samtools → lofreq → bcftools". This suggests I should use `lofreq` for variant calling? Actually, looking at typical workflows with these specific versions (bcftools 1.21), `bcftools mpileup -f ref.fa input.bam | bcftools call -v output.vcf.gz` is standard. However, the prompt explicitly lists "Recommended tool sequence: bwa → samtools → lofreq → bcftools". This might imply using `lofreq` for calling? Or maybe it's just a suggestion of tools available in that order.
