Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Create a self-contained Bash script for per-sample variant calling on mitochondrial DNA (chrM) using provided FASTQ files and reference genome.
    *   **Inputs:** `data/raw/` contains paired-end FASTQs (`*_1.fq.gz`, `*_2.fq.gz`) for 4 samples. `data/ref/` contains `chrM.fa`.
    *   **Outputs:** `results/{sample}.bam`, `.bai`, `{sample}.vcf.gz`, `.tbi`, and a collapsed table `collapsed.tsv`.
    *   **Constraints:**
        *   Shebang: `#!/usr/bin/env bash`
        *   Strict mode: `set -euo pipefail`
        *   Working directory assumption: Contains `data/raw/` and `data/ref/`. Outputs to `results/`.
        *   Idempotent: Check for existence of outputs before running. Exit 0 if done, don't redo work.
        *   No hardcoded absolute paths (use relative).
        *   Tools allowed: bwa, samtools, bcftools, tabix, lofreq, SnpSift, snpEff, fastqc, seqkit, snakemake, shellcheck, java.
        *   Time limit: < 600s at THREADS=4 (parallelization encouraged if possible).
        *   No `echo` for prose output beyond tool logs.

2.  **Workflow Design:**
    *   **Step 1: Reference Preparation.** The reference is provided as `.fa`. It needs to be indexed by BWA or Samtools? Usually, BWA-mem requires an index (`.fai`) created via `samtools faidx` for some tools, but BWA itself creates its own indexes. However, standard practice with BWA-aln/mem often involves indexing the reference first if using specific modes, though BWA handles it well. Let's ensure `data/ref/chrM.fa.fai` exists or create it via `samtools faidx`.
    *   **Step 2: Alignment.** Use `bwa mem` to map reads to chrM. Output BAM files (unsorted). Then sort and index them using `samtools`. Since the task asks for specific outputs per sample, I need a loop over samples. To make it idempotent, check if `.bam`, `.bai`, etc., exist in results/.
    *   **Step 3: Variant Calling.** Use GATK or bcftools? The tool inventory lists `bcftools` and `lofreq`. It does not list GATK (which is Java-based but usually requires specific setup). Wait, it lists `snpEff`, which implies a variant caller might be needed. However, standard mitochondrial calling often uses BCFtools or LoFreq directly on BAMs if quality scores are good.
    *   **Tool Inventory Check:**
        *   bwa (0.7.18) - Alignment tool.
        *   samtools 1.21 - Sorting/Indexing/BAM handling.
        *   bcftools 1.21 - Variant calling and manipulation.
        *   lofreq 2.1.5 - Alternative variant caller (often used for low coverage).
        *   SnpSift, snpEff - Post-processing/filtering/annotation.
