Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Create a self-contained bash script for per-sample variant calling on mitochondrial DNA (chrM) using specific tools and data structure.
    *   **Inputs:** `data/raw/` contains paired-end FASTQ files (`_1.fq.gz`, `_2.fq.gz`) for 4 samples. `data/ref/` contains `chrM.fa`.
    *   **Outputs:** `results/{sample}.bam`, `.bai`, `{sample}.vcf.gz`, `.tbi`, and a collapsed table `collapsed.tsv`.
    *   **Constraints:**
        *   Shebang: `#!/usr/bin/env bash`
        *   Strict mode: `set -euo pipefail`
        *   Idempotent (check existence before processing).
        *   No hardcoded absolute paths.
        *   Use only specified tools (`bwa`, `samtools`, `bcftools`, `tabix`, `lofreq`, `SnpSift`, etc.).
        *   Time limit: < 600s (4 threads implied by context, though script should be efficient).
        *   No prose output/echo.

2.  **Determine the Workflow:**
    *   Step 1: Check for existing outputs to ensure idempotency. If `results/{sample}.vcf.gz` exists, skip processing that sample. Same for reference index if needed (though usually BWA needs a BAM or FASTA). The prompt says chrM.fa is decompressed but not indexed yet? Actually, it's just the file in data/ref/. I need to check if an index (.fa.fai) exists there too, or create one if using tools that require indexing. `bwa mem` usually takes `.fasta`. It doesn't strictly *need* a .fai for input FASTA but some downstream steps might benefit from it (like tabix). However, standard BWA usage is fine with just the fasta file.
    *   Step 2: Align reads to reference using `bwa mem` -> output BAM. Sort and index BAM using `samtools`.
    *   Step 3: Call variants on aligned data. The prompt mentions `lofreq`, but standard practice for mitochondrial amplicons often involves specific settings due to high coverage or heteroplasmy detection needs, though the task asks specifically for variant calling pipeline ending in VCF + TBI. `bcftools` is listed as a tool inventory item (1.21).
    *   Wait, looking at TOOL_INVENTORY: `lofreq`, `SnpSift`. Usually, GATK or bcftools are used with BWA-MEM for standard variant calling. However, the prompt mentions "Recommended tool sequence: bwa → samtools → lofreq → bcftools".
    *   Let's check `bcftools` capabilities vs `lofreq`. `bcftools mpileup` is often paired with `call`, but here we have specific tools listed. The plan says use `bwa -> samtools -> lofreq -> bcftools`. This implies: Align (BWA) -> Sort/Index (SAMTOOLS) -> Call Variants (LoFreq?) -> Filter/Annotate? Or maybe LoFreq is used for calling, then BCFTOOLS for merging/filtering.
    *   Actually, `lofreq` usually takes BAM and outputs VCF directly (`lfcamp`). But standard pipeline with BWA-MEM often uses `bcftools mpileup` + `call`. However, the prompt explicitly lists `lofreq` in inventory but suggests a sequence including it. Let's look at typical usage:
        *   Option A (Standard): `bwa mem`, `samtools sort/index`, `bcftools mpileup -f ref.fa | bcftools call -mv > vcf`. But the prompt says "Recommended tool sequence... lofreq -> bcftools". This might imply using LoFreq for calling.
        *   Option B (Strict adherence to inventory): Use available tools. If I use `bcftools mpileup` it's valid under BCFTOOLS 1.21. But the prompt says "Recommended tool sequence: bwa → samtools → lofreq → bcftools". This suggests LoFreq is a key step, likely for calling variants (e.g., detecting heteroplasmy).
        *   However, `bcftools` can also be used to call directly from mpileup. But if the plan says use LoFreq, I should probably invoke it. Wait, looking at typical workflows: BWA-MEM -> SAMTOOLS Sort/Index -> BCFTOOLS MPILUP/Call (or GATK). Since `lofreq` is listed and specifically mentioned in "Recommended tool sequence", I will incorporate it for variant calling to ensure heteroplasmy detection capability which LoFreq excels at.
        *   Wait, actually, standard BWA-MEM + BCFTOOLS MPILUP/Call is very common. But the prompt says: `bwa → samtools → lofreq → bcftools`. This implies using LoFreq to call variants (e.g., `lofreq-caller` or similar). However, looking at typical usage of tools in this inventory context for a "bioinformatician" task:
