Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Create a self-contained Bash script for per-sample variant calling on mitochondrial DNA (chrM) using provided FASTQ files and reference genome.
    *   **Inputs:** `data/raw/` contains paired-end FASTQs (`*_1.fq.gz`, `*_2.fq.gz`) for 4 samples. `data/ref/` contains `chrM.fa`.
    *   **Outputs:** `results/{sample}.bam`, `.bai`, `{sample}.vcf.gz`, `.tbi`, and a collapsed table `collapsed.tsv`.
    *   **Constraints:**
        *   Shebang: `#!/usr/bin/env bash`
        *   Strict mode: `set -euo pipefail`
        *   Working Directory (cwd): Contains data/raw/ and data/ref/. Outputs go to results/.
        *   Idempotent: Rerunning on populated results/ must exit 0 without redoing work. This implies checking for existence of outputs before processing, or using a specific structure that allows skipping if files exist. However, since the task is "Per-sample variant calling", usually this means running alignment and VCF generation *if* not done yet. To be truly idempotent in terms of "rerunning on populated results/ ... must exit 0 without redoing work", I need to check for intermediate or final outputs before starting heavy computation, OR simply ensure the script doesn't fail if files exist (but `set -e` might cause issues with conditional logic). A common pattern is checking existence and skipping steps.
        *   No hardcoded paths outside cwd.
        *   Tools: bwa, samtools, bcftools, tabix, lofreq, SnpSift, snpEff, fastqc (unused?), seqkit, snakemake (maybe too complex for a single script? The prompt says "Design and implement the workflow yourself", implying I should write bash commands using these tools), shellcheck, java.
        *   No conda/pip/apt/curl/wget/package managers in execution logic.
        *   Time limit: < 600s (10 mins). This is generous for MiSeq amplicon data on chrM with standard pipelines.
        *   Do not use `echo` for user-facing prose.

2.  **Workflow Design:**
    *   **Step 1: Setup.** Define variables, ensure directories exist (`results/`). Check idempotency (if all outputs exist, exit).
    *   **Step 2: Alignment.** Use BWA-MEM to map reads from `data/raw/*.fq.gz` to `data/ref/chrM.fa`. Output sorted BAMs. Since chrM is small (~16kb), alignment should be fast. Need to handle paired-end input correctly (`-f -t`).
    *   **Step 3: Sorting.** Sort the BAM files (samtools sort).
