Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Create a self-contained bash script for per-sample variant calling on mitochondrial amplicon data.
    *   **Constraints:**
        *   First line: `#!/usr/bin/env bash`
        *   Second line: `set -euo pipefail`
        *   Working directory contains `data/raw/` (FASTQs) and `data/ref/` (`chrM.fa`).
        *   Outputs go to `results/`.
        *   Idempotent: Rerunning on populated `results/` must exit 0 without redoing work.
        *   No hardcoded absolute paths outside cwd.
        *   Use only tools in TOOL_INVENTORY (bwa, samtools, bcftools, tabix, lofreq, SnpSift, snpEff, fastqc, seqkit, snakemake, shellcheck, java). Note: `bgzip` is not explicitly listed but usually available via htslib or standard tools. However, the prompt says "Use only tools listed in TOOL_INVENTORY". Wait, looking closely at TOOL_INVENTORY... it lists specific versions and names. It does *not* list `bgzip`. But step 7 says "Compress with bgzip (not bcftools view -O z)". This is a conflict. Usually, standard Linux systems have `gzip` or `pigz`, but the constraint says "Use only tools listed in TOOL_INVENTORY".
        *   Wait, let's re-read carefully: "Do not invoke conda, pip, apt... Use only tools listed in TOOL_INVENTORY." If `bgzip` is not there, I might need to use `bcftools view -O z` (which was explicitly forbidden as an alternative) or assume standard utilities are allowed if they aren't package managers. However, the prompt says "Use only tools listed". This implies I should check if any tool in the list can compress VCFs efficiently.
        *   Actually, `bcftools view -O z` is often available with bcftools 1.21 (which is installed). The instruction explicitly forbids it: "(not bgzip ... producing results/{sample}.vcf.gz)". Wait, Step 7 says "Compress with bgzip". If I can't use `bgzip`, maybe I should check if the environment has standard tools like `pigz` or just rely on `bcftools`. But the instruction is specific: "Use only tools listed in TOOL_INVENTORY."
        *   Let's look at the inventory again. It lists `bwa, samtools, bcftools, tabix... java`. It does NOT list `bgzip`, `pigz`, or standard `gzip` (though often available). However, since this is a "bench" conda env on linux-aarch64, maybe I should assume standard Unix tools are implicitly allowed if not package managers? No, the constraint says "Use only tools listed in TOOL_INVENTORY".
        *   Wait, Step 7 explicitly mentions `bgzip`. If it's forbidden by the tool list but required by the plan... This is a contradiction. Usually, in these prompts, I should follow the Plan if possible. But if `bgzip` isn't there, maybe I can use `bcftools view -O z`? The prompt says "Compress with bgzip (not bcftools view -O z)".
        *   Okay, let's look at Step 7 again: "Compress with bgzip ... producing results/{sample}.vcf.gz". If I strictly follow the tool inventory constraint ("Use only tools listed"), `bgzip` is missing. However, often in these scenarios, standard binaries like `gzip`, `pigz`, or even `bcftools view -O z` are considered acceptable if they aren't "package managers" (apt/pip). But the instruction says "Do not invoke ... package manager". It doesn't explicitly ban system tools unless listed. BUT it also says "Use only tools listed in TOOL_INVENTORY."
        *   Hypothesis: The prompt implies I should use `bcftools view -O z` if `bgzip` isn't available, OR the environment actually has `bgzip`. Given the explicit instruction "(not bcftools view -O z)", it strongly suggests using a tool that compresses. If `bgzip` is not in the list, maybe I should use `bcftools view -O z` despite the text saying "Compress with bgzip (not ...)"? No, that's confusing.
        *   Let's check if there are other tools. `seqkit`, `snakemake`. None compress VCFs well.
        *   Okay, I will assume standard GNU coreutils (`gzip` or `pigz`) might be available on the system even if not listed in inventory (as they aren't package managers). However, to be safe regarding "Use only tools listed", I should check if there's a way to do it with bcftools. But Step 7 explicitly says *not* to use `bcftools view -O z`.
        *   Wait, maybe the prompt implies that since `bgzip` is not in the list, but step 7 requires compression... I will try to find if there's a workaround or assume standard tools are okay. Actually, looking at similar tasks, often `pigz` or `gzip` is available on PATH even if not listed in inventory for this specific task description (which might be copy-pasted).
        *   However, the most robust way given "Use only tools listed" AND Step 7 says "Compress with bgzip": I will use `bgzip`. If it's missing, the script fails. But since I am generating the script content to run in a specific environment described (conda env 'bench'), and `bgzip` is often bundled with htslib or samtools/bcftools... Wait, `samtools` 1.21 usually doesn't include bgzip directly as an executable unless installed separately.
        *   Actually, I will check the TOOL_INVENTORY again. It lists `bcftools`. Does bcftools have a compress command? No.
        *   Okay, there is a high chance that standard tools like `gzip` or `pigz` are expected to be available on PATH in this context (Linux-aarch64) even if not explicitly listed as "tools" for the script logic, because they aren't package managers. But strict adherence says "Use only tools listed".
